empty_slots,free_bikes,id,latitude,longitude,name,timestamp,extra_ebikes,extra_has_ebikes,extra_last_updated,lat_long
11,2,96bf713e60bc35cc2feb5fd53a4f3471,49.262598,-123.138921,10th & Granville,2023-09-21 19:03:51.496000,0,true,1695322527,"49.262598,-123.138921"
12,1,8dc684732a2a25bdf63ec0ecccee4e6e,49.25894,-123.139272,14th & Granville,2023-09-21 19:03:51.495000,1,true,1695322810,"49.25894,-123.139272"
10,4,686c0fdb962e26e274d81fc286c010dd,49.258763,-123.115392,14th & Cambie,2023-09-21 19:03:51.517000,4,true,1695322978,"49.258763,-123.115392"
13,7,0cf6cd1809fa7f510812f5b052f578c4,49.266724,-123.104824,Ontario & 5th,2023-09-21 19:03:51.497000,4,true,1695322777,"49.266724,-123.104824"
15,3,93c88a18c673e2c72a6afa93d6b89f18,49.262141,-123.101961,10th & Main,2023-09-21 19:03:51.565000,3,true,1695322585,"49.262141,-123.101961"
7,10,8fb5ce1e34ad31de940481953aea452c,49.268269,-123.147885,Cypress & 4th,2023-09-21 19:03:51.583000,0,true,1695323017,"49.268269,-123.147885"
17,10,aa704bfba40286bd0661b64d1f75e778,49.275717,-123.142564,Vanier Park,2023-09-21 19:03:51.581000,0,true,1695322928,"49.275717,-123.142564"
9,5,13021bba7bbeca1ccd8726ca17da59e6,49.25094,-123.101306,22nd & Main,2023-09-21 19:03:51.717000,0,true,1695322567,"49.25094,-123.101306"
10,10,8c9ea7f2132376859ef34fab981d6932,49.276436,-123.11877,Nelson & Mainland,2023-09-21 19:03:51.593000,0,true,1695322824,"49.276436,-123.11877"
8,9,1d4153659a0a0a2089078c739df6737d,49.277844,-123.120942,Nelson & Richards,2023-09-21 19:03:51.585000,1,true,1695322915,"49.277844,-123.120942"
7,9,fbb4c06b719596c21f91fd51ef6d4710,49.265089,-123.119425,7th & Heather,2023-09-21 19:03:51.741000,0,true,1695322968,"49.265089,-123.119425"
20,0,72c1049dfbbde7c24ec45c14f1a5ee85,49.28026,-123.135244,Harwood & Bute,2023-09-21 19:03:51.678000,0,true,1695322475,"49.28026,-123.135244"
14,4,00fa94ad698dc4a9e4d708d6fd32f294,49.291909,-123.140713,Chilco & Barclay,2023-09-21 19:03:51.774000,1,true,1695322812,"49.291909,-123.140713"
8,8,efa947b901a2cf85b58320b3ad26a2fe,49.293257,-123.138563,Chilco & Robson,2023-09-21 19:03:51.773000,0,true,1695322898,"49.293257,-123.138563"
15,3,66a53e9c32e4f5c724f9478240020142,49.288011,-123.132006,Nicola & Robson,2023-09-21 19:03:51.771000,1,true,1695322865,"49.288011,-123.132006"
4,14,97b25faf822b93fdbf72da1d594c0288,49.28117,-123.104419,Carrall & Hastings,2023-09-21 19:03:51.769000,0,true,1695322764,"49.28117,-123.104419"
5,23,6c7fb9043e6df5a4cc50404581a947b9,49.283227,-123.120523,šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,2023-09-21 19:03:51.768000,14,true,1695322879,"49.283227,-123.120523"
1,15,30bf49544b1c864688b78172d42cca5e,49.299292,-123.130281,Stanley Park - Vancouver Aquarium,2023-09-21 19:03:51.346000,0,true,1695322826,"49.299292,-123.130281"
4,12,9f63cebac9073eac3e90be2b9a91b02b,49.29534,-123.150433,Stanley Park - Second Beach North,2023-09-21 19:03:51.348000,2,true,1695322925,"49.29534,-123.150433"
12,6,9aa325529164ec68b4d96c4f1c4fc7c1,49.294318,-123.148808,Stanley Park - Second Beach South,2023-09-21 19:03:51.336000,1,true,1695322937,"49.294318,-123.148808"
10,10,e3d32ad772a5898c3b96c4d23d2cd542,49.298657,-123.121176,Stanley Park - Totem Poles,2023-09-21 19:03:51.334000,2,true,1695323020,"49.298657,-123.121176"
11,5,625a2ad202275c8e2be3ce868e85b105,49.259183,-123.120126,Heather & 14th,2023-09-21 19:03:51.345000,4,true,1695322795,"49.259183,-123.120126"
4,11,6c0de983fb47a3439a9e3c36a3d15804,49.263837,-123.105173,8th & Ontario,2023-09-21 19:03:51.345000,2,true,1695322980,"49.263837,-123.105173"
15,11,92c9e62c0b42adf4759c430009d3987a,49.270721,-123.146175,1st & Chestnut,2023-09-21 19:03:51.331000,0,true,1695322908,"49.270721,-123.146175"
14,2,51e4d3731aebbf9c3186f310a08de6c8,49.265605,-123.152566,7th & Arbutus,2023-09-21 19:03:51.330000,1,true,1695322443,"49.265605,-123.152566"
13,2,826af7eee4ce28b6fa4b4f0211305792,49.267222,-123.153157,5th & Arbutus,2023-09-21 19:03:51.255000,2,true,1695322993,"49.267222,-123.153157"
22,4,4cb84c9a3743287019ae00ceef9a1cd3,49.262255,-123.126217,10th & Oak,2023-09-21 19:03:51.253000,4,true,1695322853,"49.262255,-123.126217"
38,1,56fef9ba0af67a4ff3e661a8e02c0b08,49.257654,-123.153212,Arbutus & 16th,2023-09-21 19:03:51.254000,1,true,1695322695,"49.257654,-123.153212"
8,4,c81f75a80312c51ceaef1304beac1990,49.25919,-123.148268,Cypress & 14th,2023-09-21 19:03:51.257000,0,true,1695322497,"49.25919,-123.148268"
6,5,afacb2133f2462aba7748cc21b71c788,49.25741,-123.148531,Cypress & 16th,2023-09-21 19:03:51.265000,0,true,1695322683,"49.25741,-123.148531"
2,9,a9f0b06d07f89b75e92c0cf686223aea,49.285953,-123.124066,Georgia & Thurlow,2023-09-21 19:03:51.225000,0,true,1695323010,"49.285953,-123.124066"
8,7,686b314a6c3348efd2297d6b3dfed1a7,49.280881,-123.130672,Thurlow & Pendrell,2023-09-21 19:03:51.223000,0,true,1695322851,"49.280881,-123.130672"
9,2,0d1b5c62f8d22e3650811df55596e25b,49.256845,-123.120071,Heather & 16th,2023-09-21 19:03:51.199000,1,true,1695322746,"49.256845,-123.120071"
8,7,521c2122c791ed038168c3b8ff24061b,49.25849,-123.104799,14th & Ontario,2023-09-21 19:03:51.186000,0,true,1695322937,"49.25849,-123.104799"
12,1,838d5bb59963474ad08a6d5b156943ed,49.258425,-123.100792,14th & Main,2023-09-21 19:03:51.174000,0,true,1695322742,"49.258425,-123.100792"
9,9,b9ab6ce009eda6006ade1d7568d9db9c,49.270905,-123.126006,David Lam Park,2023-09-21 19:03:51.177000,0,true,1695323008,"49.270905,-123.126006"
6,11,9ec4163496363b31ab475cb851b57b21,49.273568,-123.129935,Beach & Seymour,2023-09-21 19:03:51.178000,0,true,1695322855,"49.273568,-123.129935"
15,3,fedff7a263c182df94bda7307059cc52,49.277141,-123.122589,Richards & Helmcken,2023-09-21 19:03:51.757000,1,true,1695322995,"49.277141,-123.122589"
8,8,b9baf685b7053de899bf3467f61c2781,49.267859,-123.145782,Burrard & 4th,2023-09-21 19:03:51.764000,0,true,1695322507,"49.267859,-123.145782"
